Estrellas,Opinion,Id,Titulo
4.0 de 5 estrellas,"I chose 4 out of 5 for the material with which they are made, they are a bit cheap and in one book it came to me stained with ink on some pages, even so it can be read, the books are wonderful and tell a great story, the covers complement each other even on the spine, they are spectacular and perfect if you want to learn mythology in a digestible way.",ricardo Esc,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Excellent collection, the only thing I did not like was the poster since it is very small, but from there on everything very well.",O1m2a3r5,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"At a good price, good quality. The poster is too small",Paty,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Hours of entertainment, the price is appropriate and as a whole it comes out cheaper and saves one the time of searching title by title",Gabs,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Excellent reading. It was a gift for my teenage daughter, she loved it.",Melissa,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
3.0 de 5 estrellas,"The books came ""well"" the box was super battered and affected the view of the box set, it only came in an envelope and not in a box",Danny Rodriguez ,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
2.0 de 5 estrellas,"I thought it would be a good purchase but it was not, the pages are brown which makes reading difficult and some pages are full of ink stains is not an Amazon error but it seems that the publisher must be aware of those errors",Rolando Martínez,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Very good books and excellent presentation. I received the books in excellent condition and the order arrived in just 2 days. Recommended for those who like adventure and a very dynamic and highly engaging reading.,Topaz66,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"I love them, I always wanted to read these books, they are softcover, simple, they come in their box and in the original language. I do not regret",jpevillanueva,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,I bought these for my daughter because she loves these stories,Kathia B Muñoz Zamora,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Very good books,Andrea Ruvalcaba,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"The package is at a very good price, the poster is small, but it is cute. Books don't even mention it, they're super fun.",Edgar Jimenez,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,"very good, I loved it but it has a detail in the corner of book 4 but in general I love the designs of the covers, they are the best",Raymundo Medel,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"I arrive much earlier than expected, there was a small problem with DHL but in the end I did arrive. The product comes very well",Jared García,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,"The package arrived on time, without delay and in perfect condition, but I did not expect them to be so small",Giselle,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"It was a gift! The lucky person was fascinated, very good quality, beautiful presentation.",Reymon Mondragon,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Excellent, I loved it !! Besides I arrived when they said it!",Angel Santacruz,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"It is super, I arrive well and at a very accessible price, highly recommended and the books are very entertaining! All very fast :)",Carmen ,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"The books came to me in a good condition, plus the covers are super cool",Alejandra cabanillas,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"It arrived on time and in good condition, a good saga of Greek mythology",Juan Ignacio Toscano,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,"I love these books, but the box was damaged and I had to throw it away :(",Carolina MG,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,It arrived on time and in perfect condition.,Lu O,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,The product arrived very well except for a few small bumps in the corners of the box set.,Grettel,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,The box of the books was damaged. But I arrived several days earlier than expected!,Jesús Enrique,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"They arrived very quickly, they are very beautiful and for the price they are completely worth it :)",Alma ximena quintana okamoto,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,I haven't read it but it arrived early and in excellent condition,Jorge Morales,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Excellent saga, my children have enjoyed it a lot!",Martha Rodriguez,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Excellent literature and at an excellent price.,Josue R.,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Very good but the books are not that big.,José Luis Santoy Valdez,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
3.0 de 5 estrellas,"The box is damaged, the books are fine, and for the price of black friday it didn't seem so bad",perron,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,I loved!!! It arrived earlier than indicated and in perfect condition 💖,Alan Murillo,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,My favorite saga and they arrived in perfect condition,Pedro Iván Méndez Zaragoza,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"The price seems fair to me, and it came to me very well. I recommend it",Brenda,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Excellent product, delivery time in a timely manner.",sheila roman quijano,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,It arrived very well and I acquired it at an excellent price. 😍,Miguel Cuellar,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,Overall super good only the poster was small,Pedro Ulloa,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,It is a children's saga but it has that touch of fantasy that I love,Adriana Orozco,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,My 10 year old son couldn't stop reading! :),Dinocool999 ,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Perfect,Maria Fernanda Rodríguez Sanchez,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
1.0 de 5 estrellas,They arrived on time but the books arrived very damaged.,gabriela,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Excellent book,Isaac,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Excellent gift.,Sofia Avia Esparza Aguilar,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
3.0 de 5 estrellas,The books arrived damaged.,Cecilia Leyva Ponce,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,No poster included,Gustavo,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,They arrived in excellent condition,Roymc89,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Perfect,Lucia,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,"The box is a little flattened on the sides but what is more good (one or another half-battered book from the outside), in fact it came to me earlier than expected. If the book set is beautiful, I love the new covers and the books are super light and the material is neither so cheap nor so good, good for its price. For those who want to start reading in English I highly recommend them, the narration is very funny and simple, I did not have much problem following the story for some other word that I did not understand. In itself, Percy is fav and Annabeth is such a queen. I LOVE THIS BOOKS.",Andrea Vivanco,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Apart from this beautiful edition, the story is a very funny one, combining Greek mythology with current society. Percy is simply a protagonist that you like from the first moment, with his great humor even in the most difficult situations. There are happy moments, full of suspense, mystery and sad. Many times I did not see several situations coming, and that makes it even more interesting. A very good price for such a beautiful edition, I totally recommend them.",Marco Flores,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
4.0 de 5 estrellas,"The package arrived in the specified time, it includes a very cute little image that joins the covers of the books. Not much to say, it is Percy Jackson. It is adventure and fun guaranteed. The format in which the books come is perfect for children in my opinion. The only problem: the fourth book had a few ""scratches"" of ink on several pages. However, it is still possible to read them.",Yaz F. ,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"It is a very good saga and here I found it at an excellent price, also they arrived earlier than expected and in very good condition. I recommend these books to start reading in English :)",nowheremarlene,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Very nice covers, saga that has already been read in Spanish. and it was bought in English to have it as a collection",Eduardo Omar Doctor Ordoñez,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"Very good books, I had already read them, but I wanted to have them and the material is good, it is definitely worth it.",Marlene Anabetzali,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,Very good the 5 books of the first saga and they arrived earlier than expected. Highly recommended and incredible the world of Greek mythology created here,Emanuel Carreón Zúñiga,Percy Jackson and the Olympians - Juego de 5 libros en caja (Boxset con póster) (Percy Jackson & the Olympians)
5.0 de 5 estrellas,"One of the most impressive works in the history of mankind. Only Dante had the ingenuity and uncanny ability to capture such a fascinating and epic story. The writer travels through the 9 circles of hell with his mentor, the also writer, Virgilio and witnesses the most aberrant acts of human and divine nature: such as the torture of condemned souls in rivers of boiling blood, a Canserbero devouring gluttons for all eternity and Lucifer himself with one of his three faces chewing on Judas Iscariot. It is, without a doubt, a masterpiece, sublimely written and with a superb waste of imagination and creativity. With ""Mandatory for your book collection"" status.",Leví Hernández,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"The product is well printed and the paste is indeed rigid, what I did not know was that it was illustrated by Gustav Dore which adds a better presentation to the book, the product arrived 1 day earlier than estimated.",Jaziel,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,I like the edition the illustrations the font size the distribution of the text and illustrations a great book and an excellent edition a very good and inexpensive book to be hardcover and illustrated.,Jv,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"Although the cover is different, it is just as beautiful. The material in the book is of better quality compared to books from previous editions. I received it in excellent condition, sealed and well protected. In addition, it brings the respective reading annotations, for your better understanding of the text. It is undoubtedly a good edition. I am very happy with my purchase.",Rey Flores ,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"Beautiful hardcover book, the sheets are plastic and soft, the ink looks like laser, the images are perfect, excellent quality of the book, and it arrived very well packaged and the delivery was fast (3-4 days)",Ernesto,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"A great book that represents many parameters of ancient society and even several of today's, his way of describing the world in hell is something worth reading",Stella,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"The book is a classic of Italian literature and it really offers us an original and captivating story, in which we will go through Hell, Purgatory and Paradise with Dante, I recommend it to anyone.",Jesús Ángel,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"Very good book arrived in perfect condition, the hardcover materials are of excellent quality and one of the best books to read, the illustrations are very good",Rick Prez,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,The book arrived well. And the illustrations are very good. There is no other choice but to enjoy this reading accompanied by images.,Indra Diblik,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"a classic of literature that should not be missing in any library, the book arrived in good condition, I would have liked a packaging with a little greater protection since it has a small scratch, although it does not compromise the final quality of the product, say it is at a good price.",Abduolaye,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"Good book to have in your collection, It arrived in perfect condition and in estimated delivery time, the font size is good, it does not tire your look, it does not come illustrated for those who start to read, keep it in mind but it is a very good purchase",CARLOS ALBERTO PEREZ GONZALEZ,La Divina Comedia (portada puede variar)
3.0 de 5 estrellas,I got a different book in a matter of cover but for the price ... well xd,Jorge N.,La Divina Comedia (portada puede variar)
2.0 de 5 estrellas,In the comments of other buyers an edition with illustrations by Gustave Doré on the novel is shown. The one they sent me is a different edition (which wouldn't matter if they also brought the illustrations.,Peter GG,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,The book is well made. It's a very good read.,Cesar Salazar,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"the book arrived well packed but in one corner it was beaten, for everything else it arrived fast and new",Pam Mancilla,La Divina Comedia (portada puede variar)
3.0 de 5 estrellas,I thought that by acquiring a product at that price it would be new and the book is open and it seemed old. I don't know whose responsibility it is.,Héctor G. ,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Excellent buy. The book is a bit larger than the specifications say * the illustrations are very good and the handwriting is comfortable.,Norma,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"Hardcover, illustration and sheets that seem to have their age gives an emotion to read it in physical form",Teo Santiago,La Divina Comedia (portada puede variar)
3.0 de 5 estrellas,It says in the description that it is an illustrated book and only brings five illustrations in the whole book. The lid is of good quality.,Lexcrimosa,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"A jewel indeed, an unpublished book that cannot be missing from your collection.",ARANA,La Divina Comedia (portada puede variar)
4.0 de 5 estrellas,The quality is very good compared to the price and the font size is very comfortable. I wish it had brought more illustrations.,OSCAR ADAN,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"I arrive in very good condition, it is a highly recommended version of the book with some very good illustrations in an excellent travel size",Alfredo,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Great book,Antonio,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"I like this version for the price, the size of the book and the translation of the work.",Joel Ivan Zubieta Torres,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,recommendable,Heberth Reyes Gomez,La Divina Comedia (portada puede variar)
4.0 de 5 estrellas,"It is a wonderful work of literature, but the illustrations were left to my duty.",Yoatzin Reyna,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"Excellent !! , although few illustrations is a very good example to start reading this incredible book",Jesús Gabriel Hernández Alemán,La Divina Comedia (portada puede variar)
3.0 de 5 estrellas,"What to say, the truth is a beautiful literary work, of a very good print quality, I would have loved to have the other cover.",Miguel A.,La Divina Comedia (portada puede variar)
4.0 de 5 estrellas,"Of my favorite books, it includes you in a dark and medieval setting.",Daniel Arvizu,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Good book,Jose Manuel de la Torre Corcega,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Good price-product ratio,Karen Alfonso,La Divina Comedia (portada puede variar)
3.0 de 5 estrellas,"It is fine to be an accessible format, but the illustrations lack quality, they are very blurred for the importance of the work",Victor samael,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"A few translation and printing errors, it arrived just in time, in perfect condition.",Eden Alfredo Mayoral Arvizu,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Excellent condition with a short delay but no major problem,Carolin rodriguez,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Very good comments and research by Francisco Montes de Oca,Daniel Tapia,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,and it cannot be missing in your collection :),Rogelio Vazquez,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Very good design and quality of this great title.,Gerson Reyes,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Excellent book! I arrive on time and in good condition,Luis Alfredo Rivera Acuña,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"I loved it, it arrived very fast and in very good condition",Alejandro A.,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,It was delivered to me in a timely manner.,juan francisco cardenas santiago,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,I arrive in good condition and it seems to be of very good quality.,Lou Velazco,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Excellent product and highly recommended,Alan Eduardo Rodriguez Bucio,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,school work excellent choice,Jessica Cornejo,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Precisely what I was looking for to give away,Juan Carlos,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,Excellent article,Felipe Javier Martinez Cantu,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,I arrive very fast I am a beginner in reading so we will start with this,ROBERTO ESPARZA,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,"On time and in excellent condition, the paste is perfect and very good paper, clear letters; excellent classic, to enjoy it to the fullest",Mauricio ,La Divina Comedia (portada puede variar)
5.0 de 5 estrellas,It arrived in good condition.,jorge,La Divina Comedia (portada puede variar)
3.0 de 5 estrellas,I expected more illustrations,Fernando Ochoa,La Divina Comedia (portada puede variar)
